iter	Passed	Remaining
539	27879	23749
540	27928	23695
541	27976	23640
542	28025	23587
543	28081	23539
544	28132	23486
545	28180	23432
546	28232	23380
547	28280	23326
548	28341	23282
549	28401	23237
550	28458	23190
551	28518	23145
552	28573	23096
553	28635	23052
554	28683	22998
555	28737	22948
556	28788	22896
557	28842	22846
558	28892	22793
559	28949	22746
560	29004	22696
561	29054	22644
562	29112	22597
563	29165	22546
564	29220	22496
565	29270	22444
566	29320	22391
567	29369	22337
568	29423	22287
569	29473	22234
570	29520	22178
571	29567	22124
572	29621	22074
573	29668	22018
574	29715	21963
575	29765	21910
576	29819	21860
577	29869	21807
578	29915	21752
579	29972	21703
580	30024	21652
581	30070	21596
582	30117	21541
583	30167	21489
584	30233	21447
585	30282	21393
586	30331	21340
587	30392	21295
588	30447	21245
589	30503	21197
590	30558	21147
591	30611	21097
592	30665	21046
593	30713	20992
594	30767	20942
595	30822	20893
596	30882	20846
597	30936	20797
598	30985	20743
599	31035	20690
600	31082	20635
601	31129	20580
602	31178	20527
603	31225	20472
604	31272	20417
605	31317	20361
606	31364	20306
607	31411	20252
608	31456	20196
609	31500	20139
610	31547	20085
611	31602	20035
612	31648	19980
613	31703	19930
614	31750	19876
615	31795	19820
616	31840	19764
617	31884	19708
618	31928	19652
619	31980	19600
620	32024	19544
621	32091	19502
622	32146	19452
623	32202	19403
624	32250	19350
625	32295	19295
626	32341	19239
627	32402	19193
628	32447	19138
629	32495	19084
630	32547	19033
631	32603	18984
632	32654	18932
633	32703	18879
634	32753	18826
635	32800	18772
636	32842	18715
637	32889	18661
638	32947	18613
639	32999	18562
640	33051	18511
641	33106	18461
642	33153	18407
643	33213	18360
644	33263	18308
645	33323	18260
646	33375	18209
647	33427	18158
648	33478	18106
649	33527	18053
650	33575	17999
651	33620	17944
652	33675	17895
653	33729	17844
654	33777	17790
655	33830	17740
656	33876	17686
657	33921	17630
658	33966	17576
659	34010	17520
660	34057	17466
661	34104	17412
662	34146	17356
663	34190	17301
664	34240	17248
665	34288	17195
666	34333	17141
667	34386	17090
668	34439	17039
669	34494	16989
670	34566	16948
671	34627	16901
672	34693	16857
673	34758	16811
674	34822	16766
675	34901	16728
676	34982	16690
677	35039	16641
678	35093	16590
679	35152	16542
680	35207	16492
681	35260	16441
682	35313	16390
683	35366	16338
684	35421	16288
685	35469	16235
686	35518	16182
687	35577	16134
688	35631	16083
689	35683	16031
690	35742	15983
691	35803	15935
692	35872	15891
693	35941	15847
694	36002	15799
695	36066	15752
696	36115	15700
697	36166	15647
698	36212	15593
699	36257	15539
700	36311	15488
701	36373	15440
702	36424	15388
703	36500	15346
704	36563	15299
705	36610	15245
706	36664	15194
707	36721	15144
708	36792	15101
709	36850	15051
710	36910	15003
711	36966	14952
712	37013	14898
713	37058	14844
714	37109	14791
715	37153	14737
716	37208	14686
717	37269	14637
718	37337	14592
719	37395	14542
720	37459	14495
